CVE_ID,CVE_Description,Labels,Ignored_Labels,Remained_Labels
CVE-2018-18460,XSS exists in the wp-live-chat-support v8.0.15 plugin for WordPress via the modules/gdpr.php term parameter in a wp-admin/admin.php wplivechat-menu-gdpr-page request.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18461,The Arigato Autoresponder and Newsletter (aka bft-autoresponder) v2.5.1.7 plugin for WordPress allows remote attackers to execute arbitrary code via PHP code in attachments[] data to models/attachment.php.,"['T1027.006', 'T1027.009', 'T1564.009', 'T1001.002', 'T1027.003', 'T1027.004', 'T1218.001', 'T1221', 'T1036.003']",[],"['T1027.006', 'T1027.009', 'T1564.009', 'T1001.002', 'T1027.003', 'T1027.004', 'T1218.001', 'T1221', 'T1036.003']"
CVE-2018-18467,An issue was discovered in Daniel Gultsch Conversations 2.3.4. It is possible to spoof a custom message to an existing opened conversation by sending an intent.,"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2018-1847,"IBM Financial Transaction Manager (FTM) for Multi-Platform (MP) v2.0.0.0 through 2.0.0.5, v2.1.0.0 through 2.1.0.4, v2.1.1.0 through 2.1.1.4, and v3.0.0.0 through 3.0.0.8 could allow a remote attacker to traverse directories on the system. An attacker could send a specially-crafted URL request containing ""dot dot"" sequences (/../) to view arbitrary files on the system. IBM X-Force ID: 150946.",['T1027'],[],['T1027']
CVE-2018-18471,"/api/2.0/rest/aggregator/xml in Axentra firmware, used by NETGEAR Stora, Seagate GoFlex Home, and MEDION LifeCloud, has an XXE vulnerability that can be chained with an SSRF bug to gain remote command execution as root. It can be triggered by anyone who knows the IP address of the affected device.",['T1499.003'],[],['T1499.003']
CVE-2018-18472,"Western Digital WD My Book Live and WD My Book Live Duo (all versions) have a root Remote Command Execution bug via shell metacharacters in the /api/1.0/rest/language_configuration language parameter. It can be triggered by anyone who knows the IP address of the affected device, as exploited in the wild in June 2021 for factory reset commands,",['T1027'],[],['T1027']
CVE-2018-18473,"A hidden backdoor on PATLITE NH-FB Series devices with firmware version 1.45 or earlier, NH-FV Series devices with firmware version 1.10 or earlier, and NBM Series devices with firmware version 1.09 or earlier allow attackers to enable an SSH daemon via the ""kankichi"" or ""kamiyo4"" password to the _secret1.htm URI. Subsequently, the default password of root for the root account allows an attacker to conduct remote code execution and as a result take over the system.","['T1552.001', 'T1078.001', 'T1110.001', 'T1110']",[],"['T1552.001', 'T1078.001', 'T1110.001', 'T1110']"
CVE-2018-18475,Zoho ManageEngine OpManager before 12.3 build 123214 allows Unrestricted Arbitrary File Upload.,"['T1574.010', 'T1548']",[],"['T1574.010', 'T1548']"
CVE-2018-18478,"Persistent Cross-Site Scripting (XSS) issues in LibreNMS before 1.44 allow remote attackers to inject arbitrary web script or HTML via the dashboard_name parameter in the /ajax_form.php resource, related to html/includes/forms/add-dashboard.inc.php, html/includes/forms/delete-dashboard.inc.php, and html/includes/forms/edit-dashboard.inc.php.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18547,"Vesta Control Panel through 0.9.8-22 has XSS via the edit/web/ domain parameter, the list/backup/ backup parameter, the list/rrd/ period parameter, the list/directory/ dir_a parameter, or the filename to the list/directory/ URI.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18548,ajenticp (aka Ajenti Docker control panel) for Ajenti through v1.2.23.13 has XSS via a filename that is mishandled in File Manager.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18551,"ServersCheck Monitoring Software through 14.3.3 has Persistent and Reflected XSS via the sensors.html status parameter, sensors.html type parameter, sensors.html device parameter, report.html location parameter, group_delete.html group parameter, report_save.html query parameter, sensors.html location parameter, or group_delete.html group parameter.","['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-1857,"IBM DB2 for Linux, UNIX and Windows (includes DB2 Connect Server) 11.1 could allow a user to bypass FGAC control and gain access to data they shouldn't be able to see. IBM X-Force ID: 151155.","['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2018-18570,Planon before Live Build 41 has XSS.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18571,An Incorrect Access Control vulnerability has been identified in Citrix XenMobile Server 10.8.0 before Rolling Patch 6 and 10.9.0 before Rolling Patch 3. An attacker can impersonate and take actions on behalf of any Mobile Application Management (MAM) enrolled device.,"['T1548', 'T1040', 'T1185', 'T1550.001', 'T1563', 'T1134', 'T1528', 'T1539', 'T1505.003', 'T1574.005', 'T1574.010', 'T1557']",[],"['T1548', 'T1040', 'T1185', 'T1550.001', 'T1563', 'T1134', 'T1528', 'T1539', 'T1505.003', 'T1574.005', 'T1574.010', 'T1557']"
CVE-2018-18572,"osCommerce 2.3.4.1 has an incomplete '.htaccess' for blacklist filtering in the ""product"" page. Because of this filter, script files with certain PHP-related extensions (such as .phtml and .php5) didn't execute in the application. But this filter didn't prevent the '.pht' extension. Thus, remote authenticated administrators can upload '.pht' files for arbitrary PHP code execution via a /catalog/admin/categories.php?cPath=&action=new_product URI.","['T1574.010', 'T1548']",[],"['T1574.010', 'T1548']"
CVE-2018-18573,"osCommerce 2.3.4.1 has an incomplete '.htaccess' for blacklist filtering in the ""product"" page. Remote authenticated administrators can upload new '.htaccess' files (e.g., omitting .php) and subsequently achieve arbitrary PHP code execution via a /catalog/admin/categories.php?cPath=&action=new_product URI.","['T1027.006', 'T1027.009', 'T1564.009', 'T1001.002', 'T1027.003', 'T1027.004', 'T1218.001', 'T1221', 'T1036.003']",[],"['T1027.006', 'T1027.009', 'T1564.009', 'T1001.002', 'T1027.003', 'T1027.004', 'T1218.001', 'T1221', 'T1036.003']"
CVE-2018-18576,The Hustle (aka wordpress-popup) plugin through 6.0.5 for WordPress allows Directory Traversal to obtain a directory listing via the views/admin/dashboard/ URI.,['T1027'],[],['T1027']
CVE-2018-18578,DedeCMS 5.7 SP2 allows XSS via the plus/qrcode.php type parameter.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-18579,Reflected XSS exists in DedeCMS 5.7 SP2 via the /member/pm.php folder parameter.,"['T1082', 'T1217', 'T1592', 'T1595']",[],"['T1082', 'T1217', 'T1592', 'T1595']"
CVE-2018-1858,IBM API Connect 5.0.0.0 through 5.0.8.6 is vulnerable to cross-site request forgery which could allow an attacker to execute malicious and unauthorized actions transmitted from a user that the website trusts. IBM X-Force ID: 151256.,"['T1134', 'T1528', 'T1539']",[],"['T1134', 'T1528', 'T1539']"
CVE-2018-18586,"chmextract.c in the chmextract sample program, as distributed with libmspack before 0.8alpha, does not protect against absolute/relative pathnames in CHM files, leading to Directory Traversal. NOTE: the vendor disputes that this is a libmspack vulnerability, because chmextract.c was only intended as a source-code example, not a supported application",['T1027'],[],['T1027']
CVE-2018-18587,BigProf AppGini 5.70 stores the passwords in the database using the MD5 hash.,"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']",[],"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']"
CVE-2018-18590,"A potential remote code execution and information disclosure vulnerability exists in Micro Focus Operations Bridge containerized suite versions 2017.11, 2018.02, 2018.05, 2018.08. This vulnerability could allow for information disclosure.","['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2020-7505,A CWE-20: Improper Input Validation vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to disable the webserver service on the device when specially crafted network packets are sent.,"['T1548', 'T1027', 'T1562.003', 'T1574.006', 'T1574.007', 'T1499.003', 'T1539', 'T1036.001', 'T1553.002', 'T1036.003', 'T1070', 'T1562.002', 'T1562.008', 'T1082', 'T1217', 'T1592', 'T1595']",[],"['T1548', 'T1027', 'T1562.003', 'T1574.006', 'T1574.007', 'T1499.003', 'T1539', 'T1036.001', 'T1553.002', 'T1036.003', 'T1070', 'T1562.002', 'T1562.008', 'T1082', 'T1217', 'T1592', 'T1595']"
CVE-2020-7506,A CWE-494 Download of Code Without Integrity Check vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to inject data with dangerous content into the firmware and execute arbitrary code on the system.,"['T1195.002', 'T1072', 'T1195.001', 'T1195', 'T1185', 'T1557', 'T1036.005']","['T1072', 'T1195.001']","['T1195.002', 'T1195', 'T1185', 'T1557', 'T1036.005']"
CVE-2020-7507,"A CWE-200: Information Exposure vulnerability exists in Easergy T300, Firmware V1.5.2 and prior, which could allow an attacker to pack or unpack the archive with the firmware for the controller and modules using the usual tar archiver resulting in an information exposure.","['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2020-7508,A CWE-400: Uncontrolled Resource Consumption vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to login multiple times resulting in a denial of service.,"['T1499.002', 'T1498.001', 'T1499', 'T1499.003']",[],"['T1499.002', 'T1498.001', 'T1499', 'T1499.003']"
CVE-2020-7509,A CWE-307 Improper Restriction of Excessive Authentication Attempts vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to gain full access by brute force.,"['T1110.001', 'T1110', 'T1078', 'T1110.003', 'T1110.004', 'T1558']",[],"['T1110.001', 'T1110', 'T1078', 'T1110.003', 'T1110.004', 'T1558']"
CVE-2020-7510,A CWE-269: Improper privilege management (write) vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to elevate their privileges and delete files.,"['T1548', 'T1574.010']",[],"['T1548', 'T1574.010']"
CVE-2020-7511,A CWE-200: Information Exposure vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow attacker to obtain private keys.,"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']",[],"['T1562.003', 'T1574.006', 'T1574.007', 'T1217', 'T1592', 'T1595', 'T1018', 'T1046', 'T1016', 'T1049', 'T1590', 'T1124', 'T1592.002', 'T1082', 'T1083', 'T1111', 'T1057', 'T1007', 'T1087', 'T1069', 'T1615', 'T1033', 'T1134.002', 'T1134.003', 'T1606', 'T1134', 'T1528', 'T1539', 'T1134.001', 'T1550.004', 'T1185', 'T1550.001', 'T1563', 'T1036.005', 'T1135', 'T1120', 'T1027']"
CVE-2020-7513,A CWE-327: Use of a Broken or Risky Cryptographic Algorithm vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to acquire a password by brute force.,"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']",[],"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']"
CVE-2020-7514,A CWE-312: Cleartext Storage of Sensitive Information vulnerability exists in Easergy T300 (Firmware version 1.5.2 and older) which could allow an attacker to intercept traffic and read configuration data.,"['T1005', 'T1552.004']",[],"['T1005', 'T1552.004']"
CVE-2020-7515,A CWE-327: Use of a Broken or Risky Cryptographic Algorithm vulnerability exists in Easergy Builder (Version 1.4.7.2 and older) which could allow an attacker access to the authorization credentials for a device and gain full access.,"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']",[],"['T1110', 'T1036.001', 'T1553.002', 'T1195.002']"
CVE-2020-7516,A CWE-321: Use of hard-coded cryptographic key stored in cleartext vulnerability exists in Easergy Builder V1.4.7.2 and prior which could allow an attacker to decrypt a password.,"['T1552.001', 'T1078.001', 'T1110.001', 'T1110']",[],"['T1552.001', 'T1078.001', 'T1110.001', 'T1110']"
