Report_ID,Main_Sentence,Sub_Sentences,Content_Context_BERT,Is_Attack_Pattern
CVE-2023-22806,This could allow an attacker to gain sensitive information such as user credentials.,This could allow an attacker to gain sensitive information such as user credentials,This could allow an attacker to gain sensitive information such as user credentials,1
CVE-2019-4392,HCL AppScan Standard Edition 9.0.3.13 and earlier uses hard-coded credentials which can be exploited by attackers to get unauthorized access to the system.,hard coded credentials,hard coded credentials [SEP] HCL AppScan Standard Edition 9.0.3.13 and earlier uses hard-coded credentials which can be exploited by attackers to get unauthorized access to the system.,1
CVE-2018-15383,The vulnerability exists because the affected devices have a limited amount of Direct Memory Access (DMA) memory and the affected software improperly handles resources in low-memory conditions.,the affected devices have a limited amount of Direct Memory Access (DMA) memory,the affected devices have a limited amount of Direct Memory Access (DMA) memory [SEP] The vulnerability exists because the affected devices have a limited amount of Direct Memory Access (DMA) memory and the affected software improperly handles resources in low-memory conditions.,0
CVE-2022-0863,"The WP SVG Icons WordPress plugin through 3.2.3 does not properly validate uploaded custom icon packs, allowing an high privileged user like an admin to upload a zip file containing malicious php code, leading to remote code execution.","The WP SVG Icons WordPress plugin through 3.2.3 not properly validate uploaded custom icon packs allowing an high privileged user like an admin to upload a zip file containing malicious php code, leading to remote code execution","The WP SVG Icons WordPress plugin through 3.2.3 not properly validate uploaded custom icon packs allowing an high privileged user like an admin to upload a zip file containing malicious php code, leading to remote code execution [SEP] The WP SVG Icons WordPress plugin through 3.2.3 does not properly validate uploaded custom icon packs, allowing an high privileged user like an admin to upload a zip file containing malicious php code, leading to remote code execution.",1
CVE-2018-16974,"There is a PHP Code Execution Vulnerability in apps/filemanager/upload/drop.php by using /filemanager/api/rm/.htaccess to remove the .htaccess file, and then using a filename that ends in .php followed by space characters (for bypassing the blacklist).","is a PHP Code Execution Vulnerability in apps / filemanager / upload / drop.php by using /filemanager / api / rm/.htaccess to remove the .htaccess file, and then using a filename that ends in .php followed by space characters (for bypassing the blacklist","is a PHP Code Execution Vulnerability in apps / filemanager / upload / drop.php by using /filemanager / api / rm/.htaccess to remove the .htaccess file, and then using a filename that ends in .php followed by space characters (for bypassing the blacklist [SEP] There is a PHP Code Execution Vulnerability in apps/filemanager/upload/drop.php by using /filemanager/api/rm/.htaccess to remove the .htaccess file, and then using a filename that ends in .php followed by space characters (for bypassing the blacklist).",1
CVE-2019-19229,admincgi-bin/service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action=download&filename= Directory Traversal.,admincgi-bin / service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action = download&filename=,admincgi-bin / service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action = download&filename= [SEP] admincgi-bin/service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action=download&filename= Directory Traversal.,1
CVE-2023-49290,Users are advised to upgrade.,Users advised to upgrade,Users advised to upgrade [SEP] Users are advised to upgrade.,0
CVE-2023-2390,The identifier of this vulnerability is VDB-227668.,The identifier of this vulnerability is VDB-227668,The identifier of this vulnerability is VDB-227668,0
CVE-2023-29069,"A maliciously crafted DLL file can be forced to install onto a non-default location, and attacker can overwrite parts of the product with malicious DLLs.",A maliciously crafted DLL file can forced to install onto a non-default location,"A maliciously crafted DLL file can forced to install onto a non-default location [SEP] A maliciously crafted DLL file can be forced to install onto a non-default location, and attacker can overwrite parts of the product with malicious DLLs.",1
CVE-2022-25858,"The package terser before 4.8.1, from 5.0.0 and before 5.14.2 are vulnerable to Regular Expression Denial of Service (ReDoS) due to insecure usage of regular expressions.",insecure usage,"insecure usage [SEP] The package terser before 4.8.1, from 5.0.0 and before 5.14.2 are vulnerable to Regular Expression Denial of Service (ReDoS) due to insecure usage of regular expressions.",0
CVE-2014-0956,"Cross-site scripting (XSS) vulnerability in googlemap.jsp in IBM WebSphere Portal 6.1.0 through 6.1.0.6 CF27, 6.1.5 through 6.1.5.3 CF27, 7.0 through 7.0.0.2 CF28, and 8.0 before 8.0.0.1 CF12 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.",remote attackers inject arbitrary web script or HTML via unspecified vectors,"remote attackers inject arbitrary web script or HTML via unspecified vectors [SEP] Cross-site scripting (XSS) vulnerability in googlemap.jsp in IBM WebSphere Portal 6.1.0 through 6.1.0.6 CF27, 6.1.5 through 6.1.5.3 CF27, 7.0 through 7.0.0.2 CF28, and 8.0 before 8.0.0.1 CF12 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.",1
CVE-2012-0997,Cross-site request forgery (CSRF) vulnerability in admin/index.php in 11in1 1.2.1 stable 12-31-2011 allows remote attackers to hijack the authentication of administrators for requests that add new topics via an addTopic action.,Cross-site request forgery (CSRF) vulnerability in admin / index.php in 11in1 1.2.1 stable 12-31-2011 allows remote attackers to hijack the authentication of administrators for requests that add new topics via an addTopic action,Cross-site request forgery (CSRF) vulnerability in admin / index.php in 11in1 1.2.1 stable 12-31-2011 allows remote attackers to hijack the authentication of administrators for requests that add new topics via an addTopic action [SEP] Cross-site request forgery (CSRF) vulnerability in admin/index.php in 11in1 1.2.1 stable 12-31-2011 allows remote attackers to hijack the authentication of administrators for requests that add new topics via an addTopic action.,1
CVE-2019-3747,Dell EMC Integrated Data Protection Appliance versions prior to 2.3 contain a stored cross-site scripting vulnerability.,Dell EMC Integrated Data Protection Appliance versions prior to 2.3 contain a stored cross-site scripting vulnerability,Dell EMC Integrated Data Protection Appliance versions prior to 2.3 contain a stored cross-site scripting vulnerability,1
